"Station","Depth","Spread","Spread SD","Height","Height SD","Min Scope","Max Scope"
"A-02",156,18.42,0.64,1.86,0.16,411.48,457.2
"A-03",142,18.54,0.71,1.9,0.17,411,457
"A-04",130,17.99,0.61,1.96,0.14,411,411.48
"B-01",148,17.94,0.44,1.97,0.12,411,457.2
"B-08",54,16.28,0.68,2.34,0.2,182.88,229
"C-06",97,16.69,0.53,2.18,0.17,320,320.04
"C-07",94,17.03,0.58,2.13,0.14,320,320.04
"C-09",51,15.77,0.7,2.25,0.19,182.88,229
