Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,12:12:46,0.05,-0.075,0.95,0.954,92.9,85.7,161.8
2,12:12:47,0.05,-0.1,0.925,0.932,92.9,84.3,157.7
3,12:12:48,0,-0.1,0.925,0.93,90,84.3,157.7
4,12:12:49,0.025,-0.075,0.975,0.978,91.4,85.7,167.2
5,12:12:50,0.025,-0.075,0.975,0.978,91.4,85.7,167.2
6,12:12:51,0.05,-0.1,0.975,0.981,92.9,84.3,167.2
7,12:12:52,0.075,-0.075,0.975,0.981,94.3,85.7,167.2
8,12:12:53,0.1,-0.075,0.975,0.983,95.7,85.7,167.2
9,12:12:54,0.125,-0.05,0.925,0.935,97.2,87.1,157.7
10,12:12:55,0.075,-0.075,0.925,0.931,94.3,85.7,157.7
11,12:12:56,0.025,-0.075,1.025,1.028,91.4,85.7,180
12,12:12:57,-0.05,-0.075,1.025,1.029,87.1,85.7,180
13,12:12:58,0.05,-0.1,0.95,0.957,92.9,84.3,161.8
14,12:12:59,0.05,-0.1,0.875,0.882,92.9,84.3,151
15,12:13:00,0.075,-0.075,1,1.006,94.3,85.7,180
16,12:13:01,0.05,-0.075,1,1.004,92.9,85.7,180
17,12:13:02,0.075,-0.1,0.95,0.958,94.3,84.3,161.8
18,12:13:03,0.1,-0.1,0.925,0.936,95.7,84.3,157.7
19,12:13:04,0.075,-0.075,1,1.006,94.3,85.7,180
20,12:13:05,0.025,-0.075,1,1.003,91.4,85.7,180
21,12:13:06,0.05,-0.1,0.975,0.981,92.9,84.3,167.2
22,12:13:07,0.05,-0.05,0.95,0.953,92.9,87.1,161.8
23,12:13:08,0.025,-0.075,0.95,0.953,91.4,85.7,161.8
24,12:13:09,0.05,-0.05,0.95,0.953,92.9,87.1,161.8
25,12:13:10,0.075,-0.1,0.975,0.983,94.3,84.3,167.2
26,12:13:11,0.1,-0.075,0.975,0.983,95.7,85.7,167.2
27,12:13:12,0.075,-0.075,0.975,0.981,94.3,85.7,167.2
28,12:13:13,0.1,-0.05,0.975,0.981,95.7,87.1,167.2
29,12:13:14,0.075,-0.075,0.95,0.956,94.3,85.7,161.8
30,12:13:15,-0.025,-0.1,0.975,0.98,88.6,84.3,167.2
31,12:13:16,0.1,0.125,1.5,1.509,95.7,97.2,180
32,12:13:17,0.075,0.075,0.9,0.906,94.3,94.3,154.2
33,12:13:18,-1.125,-0.525,1.15,1.692,0,58.3,180
34,12:13:19,-0.125,0.025,0.925,0.934,82.8,91.4,157.7
35,12:13:20,-0.125,0.35,0.625,0.727,82.8,110.5,128.7
36,12:13:21,0.1,-0.075,1,1.008,95.7,85.7,180
37,12:13:22,0.15,-0.075,0.95,0.965,98.6,85.7,161.8
38,12:13:23,0.125,-0.1,0.9,0.914,97.2,84.3,154.2
39,12:13:24,0.1,-0.05,0.95,0.957,95.7,87.1,161.8
40,12:13:25,0.075,-0.025,0.975,0.978,94.3,88.6,167.2
41,12:13:26,0.1,-0.075,0.925,0.933,95.7,85.7,157.7
42,12:13:27,0.1,-0.1,0.925,0.936,95.7,84.3,157.7
43,12:13:28,0.125,-0.075,0.975,0.986,97.2,85.7,167.2
44,12:13:29,0.125,-0.075,0.975,0.986,97.2,85.7,167.2
45,12:13:30,0.15,-0.1,0.9,0.918,98.6,84.3,154.2
