Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,9:12:12,-0.25,0.15,-1,1.042,75.5,98.6,0
2,9:12:13,-0.3,0.275,-0.85,0.942,72.5,106,31.8
3,9:12:14,0.125,-0.125,-0.9,0.917,97.2,82.8,25.8
4,9:12:15,0.45,-0.775,-0.375,0.971,116.7,39.2,68
5,9:12:16,-0.1,0.025,0.05,0.115,84.3,91.4,92.9
6,9:12:17,0.275,-0.375,0.875,0.991,106,68,151
7,9:12:18,0.325,-0.275,0.925,1.018,109,74,157.7
8,9:12:19,0.6,0.875,-0.45,1.152,126.9,151,63.3
9,9:12:20,-0.025,-0.55,-0.975,1.12,88.6,56.6,12.8
10,9:12:21,0.075,-0.475,-1.025,1.132,94.3,61.6,0
11,9:12:22,0.125,-0.525,-1,1.136,97.2,58.3,0
12,9:12:23,-0.2,-0.475,-0.825,0.973,78.5,61.6,34.4
13,9:12:24,-0.025,-0.7,-0.85,1.101,88.6,45.6,31.8
14,9:12:25,-0.075,-0.75,-0.775,1.081,85.7,41.4,39.2
15,9:12:26,-0.1,-0.925,-0.525,1.068,84.3,22.3,58.3
16,9:12:27,-0.15,-0.925,-0.525,1.074,81.4,22.3,58.3
17,9:12:28,-0.15,-0.925,-0.6,1.113,81.4,22.3,53.1
18,9:12:29,-0.1,-0.925,-0.6,1.107,84.3,22.3,53.1
19,9:12:30,-0.125,-0.875,-0.6,1.068,82.8,29,53.1
20,9:12:31,-0.15,-0.875,-0.575,1.058,81.4,29,54.9
21,9:12:32,-0.15,-0.925,-0.575,1.099,81.4,22.3,54.9
22,9:12:33,-0.125,-0.875,-0.55,1.041,82.8,29,56.6
23,9:12:34,-0.075,-0.9,-0.575,1.071,85.7,25.8,54.9
24,9:12:35,-0.1,-0.925,-0.525,1.068,84.3,22.3,58.3
25,9:12:36,-0.1,-0.95,-0.575,1.115,84.3,18.2,54.9
26,9:12:37,-0.125,-0.95,-0.55,1.105,82.8,18.2,56.6
27,9:12:38,-0.275,-0.55,-0.925,1.111,74,56.6,22.3
28,9:12:39,0.2,-0.625,-1.225,1.39,101.5,51.3,0
29,9:12:40,0,-0.425,-0.875,0.973,90,64.8,29
30,9:12:41,-0.125,-0.25,-1.7,1.723,82.8,75.5,0
31,9:12:42,-0.075,-0.525,-0.775,0.939,85.7,58.3,39.2
32,9:12:43,0.075,-0.35,-0.8,0.876,94.3,69.5,36.9
33,9:12:44,-0.2,-0.35,-0.95,1.032,78.5,69.5,18.2
34,9:12:45,-0.8,-0.675,-0.9,1.38,36.9,47.5,25.8
35,9:12:46,-0.3,0.075,-1.025,1.071,72.5,94.3,0
36,9:12:47,-0.15,0.425,-0.95,1.051,81.4,115.2,18.2
37,9:12:48,-0.275,-0.3,-1.025,1.103,74,72.5,0
38,9:12:49,-0.4,0.475,-1.525,1.647,66.4,118.4,0
39,9:12:50,-0.175,1.125,-1.05,1.549,79.9,180,0
40,9:12:51,-0.3,1.125,0.275,1.196,72.5,180,106
41,9:12:52,0.125,1.1,0.525,1.225,97.2,180,121.7
42,9:12:53,-0.6,0.55,0.55,0.982,53.1,123.4,123.4
43,9:12:54,-0.35,0.825,0.025,0.897,69.5,145.6,91.4
44,9:12:55,-0.475,0.8,0.2,0.952,61.6,143.1,101.5
45,9:12:56,-0.625,1.25,0.525,1.493,51.3,180,121.7
46,9:12:57,-0.525,0.75,0.35,0.98,58.3,138.6,110.5
47,9:12:58,-0.575,0.9,-0.375,1.132,54.9,154.2,68
48,9:12:59,0.25,0.025,-3.025,3.035,104.5,91.4,0
49,9:13:00,0.15,0.05,-1.1,1.111,98.6,92.9,0
50,9:13:01,0.15,0.05,-1.05,1.062,98.6,92.9,0
51,9:13:02,0.15,0.05,-1.075,1.087,98.6,92.9,0
52,9:13:03,0.15,0.05,-1.025,1.037,98.6,92.9,0
53,9:13:04,0.15,0.025,-1.025,1.036,98.6,91.4,0
54,9:13:05,0.175,0.025,-1.05,1.065,100.1,91.4,0
55,9:13:06,0.175,0.025,-1.05,1.065,100.1,91.4,0
56,9:13:07,0.175,0.05,-1.025,1.041,100.1,92.9,0
57,9:13:08,0.15,0.025,-1.025,1.036,98.6,91.4,0
58,9:13:09,0.15,0.05,-1.025,1.037,98.6,92.9,0
59,9:13:10,0.175,0.025,-1.025,1.04,100.1,91.4,0
60,9:13:11,0.175,0.025,-1.05,1.065,100.1,91.4,0
61,9:13:12,0.175,0.025,-1.075,1.089,100.1,91.4,0
62,9:13:13,0.175,0.025,-1.025,1.04,100.1,91.4,0
63,9:13:14,0.175,0.025,-1.025,1.04,100.1,91.4,0
64,9:13:15,0.15,0.025,-1.05,1.061,98.6,91.4,0
65,9:13:16,0.15,0.05,-1.025,1.037,98.6,92.9,0
66,9:13:17,0.15,0.025,-1.075,1.086,98.6,91.4,0
67,9:13:18,0.175,0.025,-1.025,1.04,100.1,91.4,0
68,9:13:19,0.175,0.025,-1.025,1.04,100.1,91.4,0
69,9:13:20,0.175,0.05,-1.05,1.066,100.1,92.9,0
70,9:13:21,0.15,0.025,-1.025,1.036,98.6,91.4,0
71,9:13:22,0.175,0.025,-1.05,1.065,100.1,91.4,0
72,9:13:23,0.175,0.025,-1.025,1.04,100.1,91.4,0
73,9:13:24,0.15,0.05,-1.05,1.062,98.6,92.9,0
74,9:13:25,0.15,0.025,-1.025,1.036,98.6,91.4,0
75,9:13:26,0.15,0.05,-1.025,1.037,98.6,92.9,0
76,9:13:27,0.175,0.05,-1.075,1.09,100.1,92.9,0
77,9:13:28,0.175,0.025,-1.1,1.114,100.1,91.4,0
78,9:13:29,0.15,0.025,-1.025,1.036,98.6,91.4,0
79,9:13:30,0.15,0.025,-1.025,1.036,98.6,91.4,0
80,9:13:31,0.15,0.025,-1.05,1.061,98.6,91.4,0
81,9:13:32,0.15,0.025,-1.025,1.036,98.6,91.4,0
82,9:13:33,0.375,-0.125,-1,1.075,112,82.8,0
83,9:13:34,0.325,-0.275,1.05,1.133,109,74,180
84,9:13:35,0.175,0.45,-0.825,0.956,100.1,116.7,34.4
85,9:13:36,0.175,0.3,-0.525,0.629,100.1,107.5,58.3
86,9:13:37,0.225,0.225,-0.8,0.861,103,103,36.9
87,9:13:38,0.325,0.45,-0.75,0.933,109,116.7,41.4
88,9:13:39,0.375,0.525,-0.85,1.067,112,121.7,31.8
89,9:13:40,0.75,0.35,-0.5,0.967,138.6,110.5,60
90,9:13:41,0.925,0.075,-0.175,0.944,157.7,94.3,79.9
91,9:13:42,0.85,0.25,-0.45,0.994,148.2,104.5,63.3
92,9:13:43,0.525,0.45,-0.6,0.915,121.7,116.7,53.1
93,9:13:44,0.525,0.5,-0.65,0.974,121.7,120,49.5
94,9:13:45,0.575,0.425,-1.075,1.291,125.1,115.2,0
95,9:13:46,0.075,0.275,-0.975,1.016,94.3,106,12.8
96,9:13:47,0.1,-0.025,-1.05,1.055,95.7,88.6,0
97,9:13:48,0.1,-0.025,-1.05,1.055,95.7,88.6,0
98,9:13:49,0.1,-0.025,-1.075,1.08,95.7,88.6,0
99,9:13:50,0.1,-0.075,-1.075,1.082,95.7,85.7,0
100,9:13:51,0.1,-0.025,-1.05,1.055,95.7,88.6,0
101,9:13:52,0.1,-0.025,-1.075,1.08,95.7,88.6,0
102,9:13:53,0.125,0,-1.025,1.033,97.2,90,0
103,9:13:54,0.1,0,-1.025,1.03,95.7,90,0
104,9:13:55,0.1,-0.025,-1.1,1.105,95.7,88.6,0
105,9:13:56,0.1,-0.075,-1.025,1.033,95.7,85.7,0
106,9:13:57,0.125,-0.025,-1.075,1.083,97.2,88.6,0
107,9:13:58,0.1,0,-1.025,1.03,95.7,90,0
108,9:13:59,0.1,-0.025,-1.1,1.105,95.7,88.6,0
109,9:14:00,0.125,-0.075,-1.125,1.134,97.2,85.7,0
