Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,13:21:36,0.075,-0.05,0.975,0.979,94.3,87.1,167.2
2,13:21:37,0.1,-0.35,0.775,0.856,95.7,69.5,140.8
3,13:21:38,0.1,-0.125,0.95,0.963,95.7,82.8,161.8
4,13:21:39,-2.8,-3.2,0.8,4.327,0,0,143.1
5,13:21:40,0.225,0.025,0.425,0.482,103,91.4,115.2
6,13:21:41,0.1,-0.05,1.025,1.031,95.7,87.1,180
7,13:21:42,0.1,-0.075,1.025,1.033,95.7,85.7,180
8,13:21:43,0.1,-0.125,0.95,0.963,95.7,82.8,161.8
9,13:21:44,0.1,-0.05,1,1.006,95.7,87.1,180
10,13:21:45,0.125,-0.025,1.05,1.058,97.2,88.6,180
11,13:21:46,0.1,-0.1,1.05,1.059,95.7,84.3,180
12,13:21:47,0.075,-0.15,0.975,0.989,94.3,81.4,167.2
13,13:21:48,0.075,-0.075,0.975,0.981,94.3,85.7,167.2
14,13:21:49,0.15,-0.025,1.025,1.036,98.6,88.6,180
15,13:21:50,0.125,-0.025,1.075,1.083,97.2,88.6,180
16,13:21:51,0.1,-0.075,0.975,0.983,95.7,85.7,167.2
17,13:21:52,0.1,-0.075,1,1.008,95.7,85.7,180
18,13:21:53,0.1,-0.05,1,1.006,95.7,87.1,180
19,13:21:54,0.1,-0.075,0.95,0.958,95.7,85.7,161.8
20,13:21:55,0.075,-0.1,0.975,0.983,94.3,84.3,167.2
21,13:21:56,0.125,0,1.1,1.107,97.2,90,180
22,13:21:57,0.125,-0.025,1.075,1.083,97.2,88.6,180
23,13:21:58,0.1,-0.1,0.95,0.96,95.7,84.3,161.8
24,13:21:59,0.075,-0.125,0.9,0.912,94.3,82.8,154.2
25,13:22:00,0.1,-0.075,1.025,1.033,95.7,85.7,180
26,13:22:01,0.125,0.025,1.125,1.132,97.2,91.4,180
27,13:22:02,0.125,-0.075,1.05,1.06,97.2,85.7,180
28,13:22:03,0.1,-0.125,0.925,0.939,95.7,82.8,157.7
29,13:22:04,0.1,-0.15,0.925,0.942,95.7,81.4,157.7
30,13:22:05,0.1,-0.075,1.05,1.057,95.7,85.7,180
31,13:22:06,0.125,0,1.1,1.107,97.2,90,180
32,13:22:07,0.075,-0.1,1,1.008,94.3,84.3,180
33,13:22:08,0.1,-0.15,0.9,0.918,95.7,81.4,154.2
34,13:22:09,0.125,-0.075,0.975,0.986,97.2,85.7,167.2
35,13:22:10,0.1,0,1.125,1.129,95.7,90,180
36,13:22:11,0.1,-0.025,1.1,1.105,95.7,88.6,180
37,13:22:12,0.1,-0.15,0.95,0.967,95.7,81.4,161.8
38,13:22:13,0.1,-0.125,0.875,0.89,95.7,82.8,151
39,13:22:14,0.075,-0.025,1,1.003,94.3,88.6,180
40,13:22:15,0.15,0.025,1.2,1.21,98.6,91.4,180
41,13:22:16,0.125,-0.025,1.1,1.107,97.2,88.6,180
42,13:22:17,0.05,-0.2,0.8,0.826,92.9,78.5,143.1
43,13:22:18,0.05,-0.125,0.85,0.861,92.9,82.8,148.2
44,13:22:19,0.125,0.025,1.15,1.157,97.2,91.4,180
45,13:22:20,0.15,0.05,1.2,1.21,98.6,92.9,180
46,13:22:21,0.1,-0.075,1,1.008,95.7,85.7,180
47,13:22:22,0.025,-0.175,0.775,0.795,91.4,79.9,140.8
48,13:22:23,0.075,-0.125,0.9,0.912,94.3,82.8,154.2
49,13:22:24,0.175,0.05,1.2,1.214,100.1,92.9,180
50,13:22:25,0.125,0.025,1.175,1.182,97.2,91.4,180
51,13:22:26,0.05,-0.125,0.925,0.935,92.9,82.8,157.7
52,13:22:27,0.05,-0.175,0.85,0.869,92.9,79.9,148.2
