Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,13:38:51,-0.15,-0.025,-1.175,1.185,81.4,88.6,0
2,13:38:52,-0.15,-0.1,-1.15,1.164,81.4,84.3,0
3,13:38:53,-0.15,-0.05,-1.1,1.111,81.4,87.1,0
4,13:38:54,-0.15,-0.025,-1.125,1.135,81.4,88.6,0
5,13:38:55,-0.15,-0.025,-1.15,1.16,81.4,88.6,0
6,13:38:56,-0.15,0.15,-1.325,1.342,81.4,98.6,0
7,13:38:57,-0.075,0.175,-1.25,1.264,85.7,100.1,0
8,13:38:58,-0.2,0.175,-0.95,0.986,78.5,100.1,18.2
9,13:38:59,-0.2,0.85,-0.125,0.882,78.5,148.2,82.8
10,13:39:00,-0.15,0.85,0.6,1.051,81.4,148.2,126.9
11,13:39:01,1.05,0.475,-0.6,1.299,180,118.4,53.1
12,13:39:02,-0.225,-0.7,-1.225,1.429,77,45.6,0
13,13:39:03,0.15,-0.025,-1.125,1.135,98.6,88.6,0
14,13:39:04,0.15,0.025,-1.075,1.086,98.6,91.4,0
15,13:39:05,0.15,0.025,-1.075,1.086,98.6,91.4,0
16,13:39:06,0.15,-0.025,-1.175,1.185,98.6,88.6,0
17,13:39:07,0.175,-0.05,-1.1,1.115,100.1,87.1,0
18,13:39:08,0.175,0,-1.125,1.139,100.1,90,0
19,13:39:09,0.175,0.025,-1.05,1.065,100.1,91.4,0
20,13:39:10,0.175,0,-1.1,1.114,100.1,90,0
21,13:39:11,0.15,-0.025,-1.2,1.21,98.6,88.6,0
22,13:39:12,0.15,-0.025,-1.15,1.16,98.6,88.6,0
23,13:39:13,0.125,0.025,-1.075,1.083,97.2,91.4,0
24,13:39:14,0.15,0.025,-1.025,1.036,98.6,91.4,0
25,13:39:15,0.175,0.025,-1.125,1.139,100.1,91.4,0
26,13:39:16,0.175,-0.025,-1.15,1.164,100.1,88.6,0
27,13:39:17,0.175,-0.1,-1.175,1.192,100.1,84.3,0
28,13:39:18,0.15,-0.025,-1.125,1.135,98.6,88.6,0
29,13:39:19,0.15,0.025,-1.075,1.086,98.6,91.4,0
30,13:39:20,0.15,0.05,-1.075,1.087,98.6,92.9,0
31,13:39:21,0.15,0.025,-1.15,1.16,98.6,91.4,0
32,13:39:22,0.15,-0.025,-1.15,1.16,98.6,88.6,0
33,13:39:23,0.175,-0.025,-1.175,1.188,100.1,88.6,0
34,13:39:24,0.175,-0.025,-1.15,1.164,100.1,88.6,0
35,13:39:25,-0.25,0.3,0.8,0.89,75.5,107.5,143.1
36,13:39:26,0.2,-0.5,0.85,1.006,101.5,60,148.2
37,13:39:27,0.5,-0.95,0.875,1.385,120,18.2,151
38,13:39:28,0.05,-0.7,0.7,0.991,92.9,45.6,134.4
39,13:39:29,0,-0.225,0.6,0.641,90,77,126.9
40,13:39:30,0.15,-0.95,0.875,1.3,98.6,18.2,151
41,13:39:31,-0.25,-0.825,0.675,1.095,75.5,34.4,132.5
42,13:39:32,-0.2,-0.325,0.8,0.886,78.5,71,143.1
43,13:39:33,-0.175,-0.475,0.75,0.905,79.9,61.6,138.6
44,13:39:34,0.025,-1.175,0.75,1.394,91.4,0,138.6
45,13:39:35,-0.325,-0.8,0.3,0.914,71,36.9,107.5
46,13:39:36,0,-0.725,0.325,0.795,90,43.5,109
47,13:39:37,-0.15,-0.9,0.025,0.913,81.4,25.8,91.4
48,13:39:38,0.1,-1.1,0.15,1.115,95.7,0,98.6
49,13:39:39,0.05,-0.8,0.2,0.826,92.9,36.9,101.5
50,13:39:40,0.25,-1.025,0.15,1.066,104.5,0,98.6
51,13:39:41,0.2,-0.925,0.15,0.958,101.5,22.3,98.6
52,13:39:42,-0.1,-0.7,0.025,0.708,84.3,45.6,91.4
53,13:39:43,0.15,-1.6,0.1,1.61,98.6,0,95.7
54,13:39:44,0.275,-1.7,0.05,1.723,106,0,92.9
55,13:39:45,-0.575,-1.325,0.05,1.445,54.9,0,92.9
56,13:39:46,-0.125,-1.15,-0.125,1.164,82.8,0,82.8
57,13:39:47,-0.05,-1.075,0.025,1.076,87.1,0,91.4
58,13:39:48,0.225,-0.825,-0.075,0.858,103,34.4,85.7
59,13:39:49,0.025,-0.775,0.2,0.801,91.4,39.2,101.5
60,13:39:50,0.025,-1.15,0.4,1.218,91.4,0,113.6
61,13:39:51,-0.225,-0.95,0.45,1.075,77,18.2,116.7
62,13:39:52,0.025,-0.975,0.35,1.036,91.4,12.8,110.5
63,13:39:53,0.35,-1.25,0.175,1.31,110.5,0,100.1
64,13:39:54,0,-1.15,0.325,1.195,90,0,109
