Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,9:25:33,0.15,-0.05,1.025,1.037,98.6,87.1,180
2,9:25:34,0.275,-0.5,0.9,1.066,106,60,154.2
3,9:25:35,0.375,-0.2,0.825,0.928,112,78.5,145.6
4,9:25:36,0.35,-0.225,0.75,0.858,110.5,77,138.6
5,9:25:37,-0.4,0.425,0.525,0.785,66.4,115.2,121.7
6,9:25:38,-0.075,-0.375,0.975,1.047,85.7,68,167.2
7,9:25:39,0,0.125,1.15,1.157,90,97.2,180
8,9:25:40,-0.6,-0.025,0.975,1.145,53.1,88.6,167.2
9,9:25:41,-1.05,-1.175,0.4,1.626,0,0,113.6
10,9:25:42,0.075,-0.275,0.325,0.432,94.3,74,109
11,9:25:43,-0.4,-0.275,1.1,1.202,66.4,74,180
12,9:25:44,-0.475,-0.4,0.7,0.936,61.6,66.4,134.4
13,9:25:45,-0.625,-0.6,0.4,0.954,51.3,53.1,113.6
14,9:25:46,-0.175,-0.55,0.625,0.851,79.9,56.6,128.7
15,9:25:47,-0.2,-0.3,0.025,0.361,78.5,72.5,91.4
16,9:25:48,-0.325,-1.075,0.55,1.25,71,0,123.4
17,9:25:49,-0.375,-0.975,0.35,1.102,68,12.8,110.5
18,9:25:50,-0.3,-1.075,0.225,1.139,72.5,0,103
19,9:25:51,-0.275,-0.95,0.1,0.994,74,18.2,95.7
20,9:25:52,0.075,-1.175,0.3,1.215,94.3,0,107.5
21,9:25:53,-0.125,-1.15,-0.025,1.157,82.8,0,88.6
22,9:25:54,-0.3,-1.025,0.125,1.075,72.5,0,97.2
23,9:25:55,-0.15,-1,0,1.011,81.4,0,90
24,9:25:56,-0.1,-0.975,0.525,1.112,84.3,12.8,121.7
25,9:25:57,-0.15,-1.175,0.5,1.286,81.4,0,120
26,9:25:58,0.25,-0.975,-0.3,1.05,104.5,12.8,72.5
27,9:25:59,-0.15,-1.125,0,1.135,81.4,0,90
28,9:26:00,-0.375,-0.825,-0.45,1.012,68,34.4,63.3
29,9:26:01,0.175,-1.075,-0.425,1.169,100.1,0,64.8
30,9:26:02,-0.3,-0.125,0.4,0.515,72.5,82.8,113.6
31,9:26:03,-0.15,0.55,0.425,0.711,81.4,123.4,115.2
32,9:26:04,0,0.025,-0.05,0.056,90,91.4,87.1
33,9:26:05,0.075,0.075,1,1.006,94.3,94.3,180
34,9:26:06,0.075,0.05,1.025,1.029,94.3,92.9,180
35,9:26:07,0.075,0.025,0.9,0.903,94.3,91.4,154.2
36,9:26:08,0.1,0.075,0.875,0.884,95.7,94.3,151
37,9:26:09,0.1,0.075,0.875,0.884,95.7,94.3,151
38,9:26:10,0.075,0.05,0.925,0.929,94.3,92.9,157.7
39,9:26:11,0.05,0.075,1.025,1.029,92.9,94.3,180
40,9:26:12,0.075,0.075,1,1.006,94.3,94.3,180
41,9:26:13,0.1,0.075,0.875,0.884,95.7,94.3,151
42,9:26:14,0.1,0.025,0.825,0.831,95.7,91.4,145.6
43,9:26:15,0.075,0.075,0.925,0.931,94.3,94.3,157.7
44,9:26:16,0.05,0.075,1.025,1.029,92.9,94.3,180
45,9:26:17,0.075,0.05,0.975,0.979,94.3,92.9,167.2
46,9:26:18,0.1,0.05,0.85,0.857,95.7,92.9,148.2
47,9:26:19,0.05,0,0.6,0.602,92.9,90,126.9
48,9:26:20,0.05,0.075,0.975,0.979,92.9,94.3,167.2
49,9:26:21,0.075,0.075,1,1.006,94.3,94.3,180
50,9:26:22,0.075,0.05,0.925,0.929,94.3,92.9,157.7
51,9:26:23,0.1,0.05,0.9,0.907,95.7,92.9,154.2
52,9:26:24,-0.05,0.725,0.6,0.942,87.1,136.5,126.9
53,9:26:25,0.025,0.625,0.725,0.958,91.4,128.7,136.5
54,9:26:26,0.325,0.425,1.25,1.36,109,115.2,180
55,9:26:27,0.075,-0.175,0.975,0.993,94.3,79.9,167.2
56,9:26:28,0.1,-0.2,0.875,0.903,95.7,78.5,151
57,9:26:29,0.1,-0.175,0.85,0.874,95.7,79.9,148.2
58,9:26:30,0.05,-0.15,0.925,0.938,92.9,81.4,157.7
59,9:26:31,0.05,-0.175,0.975,0.992,92.9,79.9,167.2
60,9:26:32,0.075,-0.175,0.925,0.944,94.3,79.9,157.7
61,9:26:33,0.1,-0.2,0.925,0.952,95.7,78.5,157.7
62,9:26:34,0.1,-0.225,0.9,0.933,95.7,77,154.2
63,9:26:35,0.075,-0.175,0.9,0.92,94.3,79.9,154.2
64,9:26:36,0.075,-0.15,0.9,0.915,94.3,81.4,154.2
65,9:26:37,0.075,0.025,0.925,0.928,94.3,91.4,157.7
66,9:26:38,0.075,0.05,0.975,0.979,94.3,92.9,167.2
67,9:26:39,0.075,0.025,0.975,0.978,94.3,91.4,167.2
68,9:26:40,0.1,-0.175,0.875,0.898,95.7,79.9,151
69,9:26:41,0.075,-0.2,0.925,0.949,94.3,78.5,157.7
70,9:26:42,0.075,-0.175,0.95,0.969,94.3,79.9,161.8
71,9:26:43,0.075,-0.2,0.95,0.974,94.3,78.5,161.8
72,9:26:44,0.075,-0.125,0.875,0.887,94.3,82.8,151
73,9:26:45,0.075,-0.125,0.925,0.936,94.3,82.8,157.7
74,9:26:46,0.075,-0.15,0.95,0.965,94.3,81.4,161.8
75,9:26:47,0.1,-0.175,0.95,0.971,95.7,79.9,161.8
76,9:26:48,0.1,-0.225,0.95,0.981,95.7,77,161.8
77,9:26:49,0.1,-0.175,0.925,0.947,95.7,79.9,157.7
78,9:26:50,0.075,-0.175,0.9,0.92,94.3,79.9,154.2
79,9:26:51,0.05,-0.15,0.925,0.938,92.9,81.4,157.7
80,9:26:52,0.075,-0.175,0.975,0.993,94.3,79.9,167.2
81,9:26:53,0.1,-0.175,0.925,0.947,95.7,79.9,157.7
82,9:26:54,0.1,-0.125,0.85,0.865,95.7,82.8,148.2
83,9:26:55,0.05,-0.175,0.925,0.943,92.9,79.9,157.7
84,9:26:56,0.05,-0.25,1.025,1.056,92.9,75.5,180
85,9:26:57,0.075,-0.175,0.95,0.969,94.3,79.9,161.8
86,9:26:58,0.1,-0.175,0.825,0.849,95.7,79.9,145.6
87,9:26:59,0.075,-0.125,0.875,0.887,94.3,82.8,151
88,9:27:00,0.05,-0.15,1,1.012,92.9,81.4,180
89,9:27:01,0.075,-0.15,0.975,0.989,94.3,81.4,167.2
90,9:27:02,0.1,-0.2,0.925,0.952,95.7,78.5,157.7
91,9:27:03,0.1,-0.175,0.875,0.898,95.7,79.9,151
92,9:27:04,0.075,-0.175,0.9,0.92,94.3,79.9,154.2
93,9:27:05,0.075,-0.15,0.925,0.94,94.3,81.4,157.7
94,9:27:06,0.075,-0.1,0.925,0.933,94.3,84.3,157.7
95,9:27:07,0.075,-0.125,0.975,0.986,94.3,82.8,167.2
96,9:27:08,0.075,-0.175,1,1.018,94.3,79.9,180
97,9:27:09,0.1,-0.2,0.925,0.952,95.7,78.5,157.7
98,9:27:10,0.1,-0.15,0.8,0.82,95.7,81.4,143.1
99,9:27:11,0.075,-0.125,0.875,0.887,94.3,82.8,151
100,9:27:12,0.05,-0.175,1,1.016,92.9,79.9,180
101,9:27:13,0.075,-0.2,0.975,0.998,94.3,78.5,167.2
102,9:27:14,0.1,-0.2,0.925,0.952,95.7,78.5,157.7
103,9:27:15,0.1,-0.2,0.9,0.927,95.7,78.5,154.2
104,9:27:16,0.075,-0.2,0.9,0.925,94.3,78.5,154.2
105,9:27:17,0.075,-0.175,0.925,0.944,94.3,79.9,157.7
106,9:27:18,0.05,-0.15,1.05,1.062,92.9,81.4,180
107,9:27:19,0.075,-0.2,1,1.023,94.3,78.5,180
108,9:27:20,-0.15,-0.55,0.55,0.792,81.4,56.6,123.4
109,9:27:21,-0.55,-0.45,-0.075,0.715,56.6,63.3,85.7
110,9:27:22,-0.2,0.175,0.65,0.702,78.5,100.1,130.5
111,9:27:23,-1.75,0.275,0.825,1.954,0,106,145.6
112,9:27:24,-0.9,0.025,0,0.9,25.8,91.4,90
113,9:27:25,0.25,0.725,-1.2,1.424,104.5,136.5,0
114,9:27:26,0.225,-0.375,-0.975,1.069,103,68,12.8
115,9:27:27,-0.85,-0.8,-0.125,1.174,31.8,36.9,82.8
116,9:27:28,-0.25,-1.125,-0.125,1.159,75.5,0,82.8
117,9:27:29,-0.175,-0.95,-0.275,1.004,79.9,18.2,74
118,9:27:30,-0.175,-1.025,-0.3,1.082,79.9,0,72.5
119,9:27:31,-0.2,-1.075,-0.3,1.134,78.5,0,72.5
120,9:27:32,-0.25,-1.075,-0.325,1.151,75.5,0,71
121,9:27:33,-0.175,-0.975,-0.325,1.043,79.9,12.8,71
122,9:27:34,-0.175,-0.95,-0.325,1.019,79.9,18.2,71
123,9:27:35,-0.2,-1.05,-0.225,1.092,78.5,0,77
124,9:27:36,-0.25,-1.125,-0.175,1.166,75.5,0,79.9
125,9:27:37,-0.2,-1.05,-0.275,1.104,78.5,0,74
126,9:27:38,-0.125,-0.925,-0.225,0.96,82.8,22.3,77
127,9:27:39,-0.175,-1.025,-0.225,1.064,79.9,0,77
128,9:27:40,-0.275,-1.075,-0.225,1.132,74,0,77
129,9:27:41,-0.25,-1.125,-0.275,1.185,75.5,0,74
130,9:27:42,-0.2,-1,-0.25,1.05,78.5,0,75.5
131,9:27:43,-0.175,-1,-0.225,1.04,79.9,0,77
132,9:27:44,-0.175,-0.975,-0.225,1.016,79.9,12.8,77
133,9:27:45,-0.25,-1.025,-0.225,1.079,75.5,0,77
134,9:27:46,-0.25,-1.1,-0.275,1.161,75.5,0,74
135,9:27:47,-0.2,-1.1,-0.25,1.146,78.5,0,75.5
136,9:27:48,-0.175,-1.025,-0.3,1.082,79.9,0,72.5
137,9:27:49,-0.175,-1,-0.275,1.052,79.9,0,74
138,9:27:50,-0.2,-0.975,-0.2,1.015,78.5,12.8,78.5
139,9:27:51,-0.175,-1.025,-0.225,1.064,79.9,0,77
140,9:27:52,-0.25,-1.075,-0.175,1.117,75.5,0,79.9
141,9:27:53,-0.25,-1.1,-0.275,1.161,75.5,0,74
142,9:27:54,-0.175,-1.05,-0.275,1.099,79.9,0,74
143,9:27:55,-0.15,-0.975,-0.25,1.018,81.4,12.8,75.5
144,9:27:56,-0.15,-0.975,-0.25,1.018,81.4,12.8,75.5
145,9:27:57,-0.175,-1.025,-0.25,1.069,79.9,0,75.5
146,9:27:58,-0.25,-1.075,-0.225,1.126,75.5,0,77
147,9:27:59,-0.225,-1.05,-0.225,1.097,77,0,77
148,9:28:00,-0.175,-1,-0.25,1.046,79.9,0,75.5
149,9:28:01,-0.175,-0.975,-0.225,1.016,79.9,12.8,77
150,9:28:02,-0.2,-1.025,-0.275,1.08,78.5,0,74
151,9:28:03,-0.25,-1.1,-0.25,1.155,75.5,0,75.5
152,9:28:04,-0.25,-1.05,-0.275,1.114,75.5,0,74
153,9:28:05,-0.15,-1,-0.225,1.036,81.4,0,77
154,9:28:06,-0.2,-0.975,-0.225,1.02,78.5,12.8,77
155,9:28:07,-0.2,-1.05,-0.225,1.092,78.5,0,77
156,9:28:08,-0.25,-1.025,-0.275,1.09,75.5,0,74
157,9:28:09,-0.2,-1.025,-0.225,1.068,78.5,0,77
158,9:28:10,-0.2,-1,-0.2,1.039,78.5,0,78.5
159,9:28:11,-0.2,-1.025,-0.225,1.068,78.5,0,77
160,9:28:12,-0.25,-1.1,-0.225,1.15,75.5,0,77
161,9:28:13,-0.225,-1.05,-0.25,1.103,77,0,75.5
162,9:28:14,-0.15,-1,-0.225,1.036,81.4,0,77
163,9:28:15,-0.2,-0.975,-0.275,1.033,78.5,12.8,74
164,9:28:16,-0.2,-1.025,-0.25,1.074,78.5,0,75.5
165,9:28:17,-0.25,-1.025,-0.225,1.079,75.5,0,77
166,9:28:18,-0.2,-1,-0.225,1.044,78.5,0,77
167,9:28:19,-0.225,-1.05,-0.25,1.103,77,0,75.5
168,9:28:20,-0.2,-1.025,-0.275,1.08,78.5,0,74
169,9:28:21,-0.625,-0.875,-0.275,1.11,51.3,29,74
170,9:28:22,-0.6,-0.725,-0.4,1.023,53.1,43.5,66.4
171,9:28:23,-0.5,-0.925,-0.125,1.059,60,22.3,82.8
172,9:28:24,-0.475,-0.95,0.025,1.062,61.6,18.2,91.4
173,9:28:25,-0.15,-1.175,0.025,1.185,81.4,0,91.4
174,9:28:26,-0.15,-1.025,-0.15,1.047,81.4,0,81.4
175,9:28:27,-0.15,-1.025,-0.15,1.047,81.4,0,81.4
176,9:28:28,-0.175,-1.025,-0.125,1.047,79.9,0,82.8
177,9:28:29,-0.225,-1.025,-0.075,1.052,77,0,85.7
178,9:28:30,-0.225,-1.075,-0.1,1.103,77,0,84.3
179,9:28:31,-0.2,-1.075,-0.175,1.107,78.5,0,79.9
180,9:28:32,-0.175,-1.025,-0.15,1.051,79.9,0,81.4
181,9:28:33,-0.175,-1.025,-0.225,1.064,79.9,0,77
182,9:28:34,-0.2,-1.025,-0.125,1.052,78.5,0,82.8
183,9:28:35,0.125,-1,-0.325,1.059,97.2,0,71
184,9:28:36,-0.3,-0.875,-0.35,0.989,72.5,29,69.5
185,9:28:37,-0.225,-0.325,-0.325,0.512,77,71,71
186,9:28:38,-1,-0.55,0.025,1.142,0,56.6,91.4
187,9:28:39,-0.95,-0.575,0.05,1.112,18.2,54.9,92.9
188,9:28:40,-0.975,-0.55,0.025,1.12,12.8,56.6,91.4
189,9:28:41,-0.95,-0.45,0.075,1.054,18.2,63.3,94.3
190,9:28:42,-0.975,-0.55,0.1,1.124,12.8,56.6,95.7
191,9:28:43,-0.975,-0.675,-0.1,1.19,12.8,47.5,84.3
192,9:28:44,-1.025,-0.5,0.1,1.145,0,60,95.7
193,9:28:45,-0.95,-0.475,0.075,1.065,18.2,61.6,94.3
194,9:28:46,-0.95,-0.475,0.075,1.065,18.2,61.6,94.3
195,9:28:47,-1,-0.5,0.075,1.121,0,60,94.3
196,9:28:48,-1.025,-0.575,0.05,1.176,0,54.9,92.9
197,9:28:49,-1,-0.525,0.05,1.131,0,58.3,92.9
198,9:28:50,-0.975,-0.525,0.075,1.11,12.8,58.3,94.3
199,9:28:51,-0.925,-0.5,0.075,1.054,22.3,60,94.3
200,9:28:52,-0.95,-0.525,0.075,1.088,18.2,58.3,94.3
201,9:28:53,-0.975,-0.55,0.05,1.121,12.8,56.6,92.9
202,9:28:54,-1,-0.525,0.05,1.131,0,58.3,92.9
203,9:28:55,-1.025,-0.75,-0.075,1.272,0,41.4,85.7
204,9:28:56,-0.9,-0.725,0,1.156,25.8,43.5,90
205,9:28:57,-0.875,-0.7,0,1.121,29,45.6,90
206,9:28:58,-1.025,-0.75,-0.05,1.271,0,41.4,87.1
207,9:28:59,-0.85,-0.65,0,1.07,31.8,49.5,90
208,9:29:00,-0.85,-0.65,-0.1,1.075,31.8,49.5,84.3
209,9:29:01,-0.85,-0.65,-0.1,1.075,31.8,49.5,84.3
210,9:29:02,-0.875,-0.625,-0.125,1.083,29,51.3,82.8
211,9:29:03,-0.925,-0.65,0.025,1.131,22.3,49.5,91.4
212,9:29:04,-0.85,-0.6,-0.025,1.041,31.8,53.1,88.6
213,9:29:05,-1.025,-0.65,-0.125,1.22,0,49.5,82.8
214,9:29:06,-1.025,-0.65,-0.1,1.218,0,49.5,84.3
215,9:29:07,-0.85,-0.5,-0.175,1.002,31.8,60,79.9
216,9:29:08,-0.95,-0.75,-0.15,1.22,18.2,41.4,81.4
217,9:29:09,-1,-0.575,-0.275,1.186,0,54.9,74
218,9:29:10,-0.85,-0.7,-0.025,1.101,31.8,45.6,88.6
219,9:29:11,-0.775,-0.7,0.1,1.049,39.2,45.6,95.7
220,9:29:12,-0.9,-0.675,-0.15,1.135,25.8,47.5,81.4
221,9:29:13,-0.9,-0.6,-0.175,1.096,25.8,53.1,79.9
222,9:29:14,-0.875,-0.575,-0.15,1.058,29,54.9,81.4
223,9:29:15,-0.775,-0.725,-0.2,1.08,39.2,43.5,78.5
224,9:29:16,-0.825,-0.925,-0.075,1.242,34.4,22.3,85.7
225,9:29:17,-0.775,-0.625,0.075,0.998,39.2,51.3,94.3
226,9:29:18,-0.825,-0.675,0.025,1.066,34.4,47.5,91.4
227,9:29:19,-0.775,-0.55,-0.05,0.952,39.2,56.6,87.1
228,9:29:20,-0.975,-0.825,-0.175,1.289,12.8,34.4,79.9
229,9:29:21,-0.9,-0.75,0.125,1.178,25.8,41.4,97.2
230,9:29:22,-0.7,-0.6,-0.15,0.934,45.6,53.1,81.4
231,9:29:23,-0.975,-0.6,0.025,1.145,12.8,53.1,91.4
232,9:29:24,-1.1,-0.5,0.125,1.215,0,60,97.2
233,9:29:25,-1.125,-1.025,0.075,1.524,0,0,94.3
234,9:29:26,-0.65,-0.65,0.225,0.946,49.5,49.5,103
235,9:29:27,-0.95,-0.6,0.1,1.128,18.2,53.1,95.7
236,9:29:28,-0.65,-0.6,0.1,0.89,49.5,53.1,95.7
237,9:29:29,-0.875,-0.075,0.15,0.891,29,85.7,98.6
238,9:29:30,-1.025,-0.325,0.075,1.078,0,71,94.3
