Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,13:22:19,0.075,-0.125,1.075,1.085,94.3,82.8,180
2,13:22:20,0.25,-0.6,1,1.193,104.5,53.1,180
3,13:22:21,0.4,-0.2,1.025,1.118,113.6,78.5,180
4,13:22:22,0.95,1.25,0.425,1.627,161.8,180,115.2
5,13:22:23,0.1,-0.1,0.875,0.886,95.7,84.3,151
6,13:22:24,0.2,0.1,1.15,1.172,101.5,95.7,180
7,13:22:25,0.15,0.1,1.15,1.164,98.6,95.7,180
8,13:22:26,0.075,-0.1,0.9,0.909,94.3,84.3,154.2
9,13:22:27,0.05,-0.125,0.825,0.836,92.9,82.8,145.6
10,13:22:28,0.15,0,0.975,0.986,98.6,90,167.2
11,13:22:29,0.175,0.075,1.125,1.141,100.1,94.3,180
12,13:22:30,0.15,0.025,1.075,1.086,98.6,91.4,180
13,13:22:31,0.075,-0.05,0.9,0.905,94.3,87.1,154.2
14,13:22:32,0.075,-0.05,0.9,0.905,94.3,87.1,154.2
15,13:22:33,0.125,0,0.975,0.983,97.2,90,167.2
16,13:22:34,0.15,0.025,1.05,1.061,98.6,91.4,180
17,13:22:35,0.125,0.05,1.05,1.059,97.2,92.9,180
18,13:22:36,0.15,-0.075,0.975,0.989,98.6,85.7,167.2
19,13:22:37,0.075,-0.075,0.875,0.881,94.3,85.7,151
20,13:22:38,0.025,-0.025,0.925,0.926,91.4,88.6,157.7
21,13:22:39,0.15,0.075,1.1,1.113,98.6,94.3,180
22,13:22:40,0.175,0.075,1.1,1.116,100.1,94.3,180
23,13:22:41,0.1,-0.1,0.925,0.936,95.7,84.3,157.7
24,13:22:42,0.075,-0.125,0.8,0.813,94.3,82.8,143.1
25,13:22:43,0.125,0.025,0.975,0.983,97.2,91.4,167.2
26,13:22:44,0.175,0.075,1.1,1.116,100.1,94.3,180
27,13:22:45,0.125,0.025,1.025,1.033,97.2,91.4,180
28,13:22:46,-0.4,-0.45,0.8,1.001,66.4,63.3,143.1
29,13:22:47,0.1,-0.075,0.925,0.933,95.7,85.7,157.7
30,13:22:48,0.125,0,1.025,1.033,97.2,90,180
31,13:22:49,0.125,0,1.025,1.033,97.2,90,180
32,13:22:50,0.125,-0.075,0.975,0.986,97.2,85.7,167.2
33,13:22:51,0.125,-0.075,0.95,0.961,97.2,85.7,161.8
34,13:22:52,0.125,0.125,0.975,0.991,97.2,97.2,167.2
35,13:22:53,0.125,0.025,1.025,1.033,97.2,91.4,180
36,13:22:54,0.025,-0.2,1.55,1.563,91.4,78.5,180
37,13:22:55,-0.325,-0.65,0.925,1.176,71,49.5,157.7
38,13:22:56,0.1,-0.325,0.8,0.869,95.7,71,143.1
39,13:22:57,0.075,-0.5,0.875,1.011,94.3,60,151
40,13:22:58,0.075,-0.625,0.925,1.119,94.3,51.3,157.7
41,13:22:59,0.05,-0.65,0.8,1.032,92.9,49.5,143.1
42,13:23:00,0.075,-0.55,0.75,0.933,94.3,56.6,138.6
43,13:23:01,-0.125,-0.625,0.675,0.928,82.8,51.3,132.5
44,13:23:02,0.075,-0.825,0.725,1.101,94.3,34.4,136.5
