Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,14:21:48,0.05,-0.025,0.9,0.902,92.9,88.6,154.2
2,14:21:49,0.05,-0.1,0.875,0.882,92.9,84.3,151
3,14:21:50,-0.15,-0.5,0.7,0.873,81.4,60,134.4
4,14:21:51,0.175,-0.4,0.8,0.911,100.1,66.4,143.1
5,14:21:52,0.125,0.85,0.175,0.877,97.2,148.2,100.1
6,14:21:53,0.2,-0.25,-1.125,1.17,101.5,75.5,0
7,14:21:54,0.175,-0.05,-1.15,1.164,100.1,87.1,0
8,14:21:55,0.15,-0.025,-1.25,1.259,98.6,88.6,0
9,14:21:56,0.15,-0.05,-1.2,1.21,98.6,87.1,0
10,14:21:57,0.3,-0.075,-1.075,1.119,107.5,85.7,0
11,14:21:58,0.1,0.05,-1.15,1.155,95.7,92.9,0
12,14:21:59,0.125,0.05,-1.2,1.208,97.2,92.9,0
13,14:22:00,0.15,0.025,-1.175,1.185,98.6,91.4,0
14,14:22:01,0.15,0,-1.1,1.11,98.6,90,0
15,14:22:02,0.15,0.025,-1.2,1.21,98.6,91.4,0
16,14:22:03,0.125,0.05,-1.225,1.232,97.2,92.9,0
17,14:22:04,0.15,0.025,-1.15,1.16,98.6,91.4,0
18,14:22:05,0.15,0.025,-1.125,1.135,98.6,91.4,0
19,14:22:06,0.125,0.025,-1.125,1.132,97.2,91.4,0
20,14:22:07,0.125,0.025,-1.2,1.207,97.2,91.4,0
21,14:22:08,0.15,0.025,-1.175,1.185,98.6,91.4,0
22,14:22:09,0.15,0.025,-1.175,1.185,98.6,91.4,0
23,14:22:10,0.15,0.025,-1.1,1.11,98.6,91.4,0
24,14:22:11,0.15,0.025,-1.175,1.185,98.6,91.4,0
25,14:22:12,0.15,0.05,-1.175,1.186,98.6,92.9,0
26,14:22:13,0.125,0.025,-1.2,1.207,97.2,91.4,0
27,14:22:14,0.125,0.025,-1.15,1.157,97.2,91.4,0
28,14:22:15,0.125,0.025,-1.1,1.107,97.2,91.4,0
29,14:22:16,0.125,0.025,-1.2,1.207,97.2,91.4,0
30,14:22:17,0.15,0.075,-1.2,1.212,98.6,94.3,0
31,14:22:18,0.15,0.025,-1.15,1.16,98.6,91.4,0
32,14:22:19,0.15,0,-1.1,1.11,98.6,90,0
33,14:22:20,0.125,0.025,-1.15,1.157,97.2,91.4,0
34,14:22:21,0.125,0.05,-1.175,1.183,97.2,92.9,0
35,14:22:22,0.125,0.025,-1.2,1.207,97.2,91.4,0
36,14:22:23,0.15,0,-1.15,1.16,98.6,90,0
37,14:22:24,0.15,0.025,-1.1,1.11,98.6,91.4,0
38,14:22:25,0.125,0.025,-1.15,1.157,97.2,91.4,0
39,14:22:26,0.1,0.05,-1.225,1.23,95.7,92.9,0
40,14:22:27,0.125,0.05,-1.225,1.232,97.2,92.9,0
41,14:22:28,0.15,0.025,-1.2,1.21,98.6,91.4,0
42,14:22:29,0.15,0,-1.1,1.11,98.6,90,0
43,14:22:30,0.1,0.025,-1.1,1.105,95.7,91.4,0
44,14:22:31,0.15,0.075,-1.225,1.236,98.6,94.3,0
45,14:22:32,0.15,0.025,-1.2,1.21,98.6,91.4,0
46,14:22:33,0.125,-0.025,-1.125,1.132,97.2,88.6,0
47,14:22:34,0.15,0.025,-1.175,1.185,98.6,91.4,0
48,14:22:35,0.125,0.025,-1.2,1.207,97.2,91.4,0
49,14:22:36,0.125,0,-1.2,1.206,97.2,90,0
50,14:22:37,0.15,0.025,-1.2,1.21,98.6,91.4,0
51,14:22:38,0.15,0.025,-1.2,1.21,98.6,91.4,0
52,14:22:39,0.125,0.025,-1.15,1.157,97.2,91.4,0
53,14:22:40,0.15,0,-1.1,1.11,98.6,90,0
54,14:22:41,0.15,0.025,-1.15,1.16,98.6,91.4,0
55,14:22:42,0.15,0.05,-1.2,1.21,98.6,92.9,0
56,14:22:43,0.15,0.025,-1.15,1.16,98.6,91.4,0
57,14:22:44,0.15,0,-1.15,1.16,98.6,90,0
58,14:22:45,0.1,0.025,-1.15,1.155,95.7,91.4,0
59,14:22:46,0.125,0.05,-1.225,1.232,97.2,92.9,0
60,14:22:47,0.15,0.025,-1.2,1.21,98.6,91.4,0
61,14:22:48,0.15,0,-1.1,1.11,98.6,90,0
62,14:22:49,0.15,0.025,-1.15,1.16,98.6,91.4,0
63,14:22:50,0.15,0.05,-1.2,1.21,98.6,92.9,0
64,14:22:51,0.15,0.05,-1.225,1.235,98.6,92.9,0
65,14:22:52,0.125,0.025,-1.2,1.207,97.2,91.4,0
66,14:22:53,0.125,0.025,-1.125,1.132,97.2,91.4,0
67,14:22:54,0.125,0.025,-1.125,1.132,97.2,91.4,0
68,14:22:55,0.15,0.025,-1.2,1.21,98.6,91.4,0
69,14:22:56,0.15,0.025,-1.175,1.185,98.6,91.4,0
70,14:22:57,0.15,0.025,-1.175,1.185,98.6,91.4,0
71,14:22:58,0.15,0.025,-1.1,1.11,98.6,91.4,0
72,14:22:59,0.125,0.025,-1.175,1.182,97.2,91.4,0
73,14:23:00,0.125,0.05,-1.225,1.232,97.2,92.9,0
74,14:23:01,0.15,0.05,-1.225,1.235,98.6,92.9,0
75,14:23:02,0.15,0.025,-1.175,1.185,98.6,91.4,0
76,14:23:03,0.125,0,-1.125,1.132,97.2,90,0
77,14:23:04,0.125,0.025,-1.175,1.182,97.2,91.4,0
78,14:23:05,0.15,0.05,-1.225,1.235,98.6,92.9,0
79,14:23:06,0.15,0.025,-1.175,1.185,98.6,91.4,0
80,14:23:07,0.15,0.025,-1.125,1.135,98.6,91.4,0
81,14:23:08,0.125,0.025,-1.1,1.107,97.2,91.4,0
82,14:23:09,0.125,0.05,-1.2,1.208,97.2,92.9,0
83,14:23:10,0.15,0.05,-1.2,1.21,98.6,92.9,0
84,14:23:11,0.15,0.025,-1.125,1.135,98.6,91.4,0
85,14:23:12,0.1,0,-1.125,1.129,95.7,90,0
86,14:23:13,0.125,0.025,-1.2,1.207,97.2,91.4,0
87,14:23:14,0.15,0.05,-1.2,1.21,98.6,92.9,0
88,14:23:15,0.15,0.025,-1.2,1.21,98.6,91.4,0
89,14:23:16,0.15,0,-1.125,1.135,98.6,90,0
90,14:23:17,0.15,0.1,-1.2,1.213,98.6,95.7,0
91,14:23:18,0.35,-0.55,-1.025,1.215,110.5,56.6,0
92,14:23:19,-0.2,-0.75,-1.025,1.286,78.5,41.4,0
93,14:23:20,0.2,0.925,-0.5,1.07,101.5,157.7,60
94,14:23:21,0.275,0.8,-0.25,0.882,106,143.1,75.5
95,14:23:22,0.45,1,-0.025,1.097,116.7,180,88.6
96,14:23:23,-0.725,-0.625,-0.1,0.962,43.5,51.3,84.3
97,14:23:24,-0.95,-0.2,-0.7,1.197,18.2,78.5,45.6
98,14:23:25,0.025,0.025,-0.7,0.701,91.4,91.4,45.6
99,14:23:26,-0.15,0.025,-0.9,0.913,81.4,91.4,25.8
100,14:23:27,0.25,-0.35,-0.575,0.718,104.5,69.5,54.9
101,14:23:28,0.3,-0.075,-1,1.047,107.5,85.7,0
