Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,9:15:01,0.05,-0.025,0.95,0.952,92.9,88.6,161.8
2,9:15:02,0.075,-0.15,1.025,1.039,94.3,81.4,180
3,9:15:03,0.175,-0.175,0.975,1.006,100.1,79.9,167.2
4,9:15:04,0.5,0.775,0.325,0.978,120,140.8,109
5,9:15:05,0.2,-0.3,0.975,1.04,101.5,72.5,167.2
6,9:15:06,0.175,-0.075,0.975,0.993,100.1,85.7,167.2
7,9:15:07,0.175,-0.1,0.95,0.971,100.1,84.3,161.8
8,9:15:08,0.175,-0.1,0.975,0.996,100.1,84.3,167.2
9,9:15:09,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
10,9:15:10,0.125,-0.05,0.9,0.91,97.2,87.1,154.2
11,9:15:11,0.1,-0.125,0.95,0.963,95.7,82.8,161.8
12,9:15:12,0.1,-0.125,1.025,1.037,95.7,82.8,180
13,9:15:13,0.125,-0.1,0.975,0.988,97.2,84.3,167.2
14,9:15:14,0.175,-0.025,0.9,0.917,100.1,88.6,154.2
15,9:15:15,0.2,-0.075,0.925,0.949,101.5,85.7,157.7
16,9:15:16,0.2,-0.075,1,1.023,101.5,85.7,180
17,9:15:17,0.15,-0.1,1.025,1.041,98.6,84.3,180
18,9:15:18,0.075,-0.075,0.9,0.906,94.3,85.7,154.2
19,9:15:19,0.05,-0.025,0.85,0.852,92.9,88.6,148.2
20,9:15:20,0.15,-0.1,1.025,1.041,98.6,84.3,180
21,9:15:21,0.2,-0.15,1.075,1.104,101.5,81.4,180
22,9:15:22,0.25,-0.125,1.025,1.062,104.5,82.8,180
23,9:15:23,0.175,-0.075,0.875,0.895,100.1,85.7,151
24,9:15:24,0.1,-0.025,0.85,0.856,95.7,88.6,148.2
25,9:15:25,0.1,-0.1,0.95,0.96,95.7,84.3,161.8
26,9:15:26,0.1,-0.125,0.975,0.988,95.7,82.8,167.2
27,9:15:27,0.125,-0.075,0.975,0.986,97.2,85.7,167.2
28,9:15:28,0.15,-0.075,0.975,0.989,98.6,85.7,167.2
29,9:15:29,0.2,-0.075,1,1.023,101.5,85.7,180
30,9:15:30,0.2,-0.05,0.95,0.972,101.5,87.1,161.8
31,9:15:31,0.15,-0.05,0.875,0.889,98.6,87.1,151
32,9:15:32,0.1,-0.075,0.925,0.933,95.7,85.7,157.7
33,9:15:33,0.1,-0.125,0.975,0.988,95.7,82.8,167.2
34,9:15:34,0.1,-0.1,0.975,0.985,95.7,84.3,167.2
35,9:15:35,0.15,-0.1,0.95,0.967,98.6,84.3,161.8
36,9:15:36,0.175,-0.125,0.925,0.95,100.1,82.8,157.7
37,9:15:37,0.175,-0.125,0.95,0.974,100.1,82.8,161.8
38,9:15:38,0.15,-0.125,0.975,0.994,98.6,82.8,167.2
39,9:15:39,0.15,-0.15,0.95,0.973,98.6,81.4,161.8
40,9:15:40,0.1,-0.1,0.9,0.911,95.7,84.3,154.2
