Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,13:25:02,-0.475,0.575,-0.775,1.076,61.6,125.1,39.2
2,13:25:03,-0.475,0.55,-0.825,1.099,61.6,123.4,34.4
3,13:25:04,-0.425,0.55,-0.825,1.079,64.8,123.4,34.4
4,13:25:05,-0.425,0.575,-0.775,1.054,64.8,125.1,39.2
5,13:25:06,-0.225,-0.125,-0.95,0.984,77,82.8,18.2
6,13:25:07,-0.15,1,0.1,1.016,81.4,180,95.7
7,13:25:08,-0.175,0.75,0.1,0.777,79.9,138.6,95.7
8,13:25:09,0,0.975,0.175,0.991,90,167.2,100.1
9,13:25:10,0.65,0.275,-1.375,1.546,130.5,106,0
10,13:25:11,0.175,0,-1.1,1.114,100.1,90,0
11,13:25:12,0.375,-0.25,-1.1,1.189,112,75.5,0
12,13:25:13,0.325,-0.475,0.95,1.111,109,61.6,161.8
13,13:25:14,0.45,-0.5,0.725,0.989,116.7,60,136.5
14,13:25:15,0.4,-0.65,0.7,1.036,113.6,49.5,134.4
15,13:25:16,-0.1,-0.4,0.875,0.967,84.3,66.4,151
16,13:25:17,-0.2,0.4,0.225,0.501,78.5,113.6,103
17,13:25:18,0.025,0.325,0.85,0.91,91.4,109,148.2
18,13:25:19,0.675,0.15,1.375,1.539,132.5,98.6,180
19,13:25:20,0.25,0.525,1.15,1.289,104.5,121.7,180
20,13:25:21,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
21,13:25:22,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
22,13:25:23,0.15,-0.1,0.925,0.942,98.6,84.3,157.7
23,13:25:24,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
24,13:25:25,0.15,-0.1,0.9,0.918,98.6,84.3,154.2
25,13:25:26,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
26,13:25:27,0.125,-0.075,0.925,0.936,97.2,85.7,157.7
27,13:25:28,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
28,13:25:29,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
29,13:25:30,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
30,13:25:31,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
31,13:25:32,0.15,-0.1,0.925,0.942,98.6,84.3,157.7
32,13:25:33,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
33,13:25:34,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
34,13:25:35,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
35,13:25:36,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
36,13:25:37,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
37,13:25:38,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
38,13:25:39,0.15,-0.1,0.925,0.942,98.6,84.3,157.7
39,13:25:40,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
40,13:25:41,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
41,13:25:42,0.125,-0.125,0.925,0.942,97.2,82.8,157.7
42,13:25:43,0.125,-0.125,0.95,0.966,97.2,82.8,161.8
43,13:25:44,0.125,-0.125,0.925,0.942,97.2,82.8,157.7
44,13:25:45,0.125,-0.125,0.925,0.942,97.2,82.8,157.7
45,13:25:46,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
46,13:25:47,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
47,13:25:48,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
48,13:25:49,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
49,13:25:50,0.125,-0.075,0.925,0.936,97.2,85.7,157.7
50,13:25:51,0.125,-0.075,0.925,0.936,97.2,85.7,157.7
51,13:25:52,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
52,13:25:53,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
53,13:25:54,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
54,13:25:55,0.15,-0.1,0.925,0.942,98.6,84.3,157.7
55,13:25:56,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
56,13:25:57,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
57,13:25:58,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
58,13:25:59,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
59,13:26:00,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
60,13:26:01,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
61,13:26:02,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
62,13:26:03,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
63,13:26:04,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
64,13:26:05,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
65,13:26:06,0.125,-0.125,0.925,0.942,97.2,82.8,157.7
66,13:26:07,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
67,13:26:08,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
68,13:26:09,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
69,13:26:10,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
70,13:26:11,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
71,13:26:12,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
72,13:26:13,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
73,13:26:14,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
74,13:26:15,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
75,13:26:16,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
76,13:26:17,0.15,-0.1,0.925,0.942,98.6,84.3,157.7
77,13:26:18,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
78,13:26:19,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
79,13:26:20,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
80,13:26:21,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
81,13:26:22,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
82,13:26:23,0.15,-0.075,0.925,0.94,98.6,85.7,157.7
83,13:26:24,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
84,13:26:25,0.15,-0.125,0.925,0.945,98.6,82.8,157.7
85,13:26:26,0.025,0.85,0.575,1.027,91.4,148.2,125.1
86,13:26:27,0.15,-0.5,-0.875,1.019,98.6,60,29
87,13:26:28,0.1,-0.125,-1.1,1.112,95.7,82.8,0
88,13:26:29,0.125,0.075,-1.125,1.134,97.2,94.3,0
89,13:26:30,0.125,0.025,-1.275,1.281,97.2,91.4,0
