Height,Start,End
0,13:41:00,13:42:10
1,13:43:00,13:44:10
2,13:45:00,13:46:10
3,13:47:00,13:48:10
4,13:49:00,13:50:10
5,13:51:00,13:52:10
6,13:52:00,13:53:10
7,13:54:00,13:55:10
8,13:56:00,13:57:10
9,13:58:00,13:59:10
10,14:00:00,14:01:10
12,14:02:00,14:03:10
14,14:04:00,14:05:10
16,14:06:00,14:07:10
18,14:08:00,14:09:10
20,14:10:00,14:11:10
25,14:12:00,14:13:10
30,14:14:00,14:15:10
35,14:16:00,14:17:10
40,14:18:00,14:19:10
