Height,Start,End
0,14:52:00,14:53:10
1,14:54:00,14:55:10
2,14:56:00,14:57:10
3,14:58:00,14:59:10
4,15:00:00,15:01:10
5,15:02:00,15:03:10
6,15:04:00,15:05:10
7,15:06:00,15:07:10
8,15:08:00,15:09:10
9,15:10:00,15:11:10
10,15:12:00,15:13:10
12,15:14:00,15:15:10
14,15:16:00,15:17:10
16,15:18:00,15:19:10
18,15:20:00,15:21:10
20,15:25:00,15:26:10
25,15:27:00,15:28:10
30,15:29:00,15:30:10
35,15:31:00,15:32:10
40,15:33:00,15:34:10
45,15:35:00,15:36:10
50,15:37:00,15:38:10
55,15:39:00,15:40:10
