min_depth_fm,max_depth_fm,scope_ratio
0,19,3.8
20,29,3.3
30,39,3.2
40,49,3.2
50,59,3
60,69,3
70,79,2.8
80,89,2.7
90,99,2.7
100,109,2.7
110,119,2.4
120,129,2.7
130,139,2.7
140,149,2.5
150,169,2.6
170,189,2.4
190,219,2.3
220,249,2.2
250,274,2.2
275,599,2.3
600,699,2.2
700,799,2
800,899,2
900,999,1.8
1000,Inf,2
